,Close,compound,negative,neutral,positive,Open,High,Low,Volume
129,166.130005,0.0,0.0,1.0,0.0,160.839996,166.589996,160.75,82507500.0
130,165.809998,0.0,0.0,1.0,0.0,166.009995,167.190002,164.429993,55474100.0
131,165.350006,0.1027,0.333,0.294,0.373,163.210007,165.850006,163.0,56697000.0
132,164.869995,0.0,0.0,1.0,0.0,166.369995,167.809998,164.199997,60276900.0
133,164.919998,-0.7184,0.5,0.5,0.0,164.020004,165.820007,163.25,63135500.0
134,169.240005,0.0,0.0,1.0,0.0,167.679993,169.339996,166.899994,70170500.0
135,168.490005,0.0,0.0,1.0,0.0,170.059998,170.990005,168.190002,57149200.0
136,172.100006,0.5093,0.0,0.477,0.523,169.820007,172.169998,169.399994,68039400.0
137,173.190002,0.0,0.0,1.0,0.0,171.520004,173.389999,171.350006,54091700.0
138,173.029999,0.0,0.0,1.0,0.0,172.779999,173.710007,171.660004,56377100.0
139,174.550003,0.0,0.0,1.0,0.0,172.770004,176.149994,172.570007,79542000.0
140,174.149994,0.5719,0.0,0.575,0.425,173.75,174.899994,173.119995,62290100.0
141,171.520004,0.0,0.0,1.0,0.0,173.029999,173.740005,171.309998,70346300.0
142,167.570007,-0.4019,0.278,0.722,0.0,169.690002,169.860001,167.139999,69026800.0
143,167.229996,0.0,0.0,1.0,0.0,167.080002,168.710007,166.649994,54147100.0
144,167.529999,0.0,0.0,1.0,0.0,167.320007,168.110001,166.25,53841500.0
145,170.029999,0.0,0.0,1.0,0.0,168.779999,170.139999,168.350006,51218200.0
146,163.619995,0.0,0.0,1.0,0.0,170.570007,171.050003,163.559998,78961000.0
147,161.380005,-0.5994,0.394,0.606,0.0,161.149994,162.899994,159.820007,73314000.0
148,158.910004,0.6369,0.0,0.656,0.344,162.130005,162.559998,157.720001,77906200.0
149,157.220001,0.34,0.0,0.769,0.231,160.309998,160.580002,157.139999,87991100.0
150,157.960007,0.0,0.0,1.0,0.0,156.639999,158.419998,154.669998,74229900.0
